Employer,JobTitle,Wage,City,State
"SYMPHONY ASSET MANAGEMENT, LLC.","CLO DATABASE ANALYST",85000,"SAN FRANCISCO",CA
"CARDINAL HEALTH, INC.","ENGINEER, INFORMATION SECURITY",65250,DUBLIN,OH
"LARSEN & TOUBRO INFOTECH LIMITED","TECHNICAL CONSULTANT",55000,MARYSVILLE,OH
"MAR-BAL, INC.","PRODUCT ENGINEER",52811,"CHAGRIN FALLS",OH
"ADECOS ENGINEERING, INC.","ENGINEER IN TRAINING",52000,NAPLES,FL
"GREENHOUSE STUDIOS,LLC",WRITER,45000,BURBANK,CA
"MARYLAND INPATIENT CARE SPECIALISTS, LLC",HOSPITALIST,195000,BALTIMORE,MD
"ID BUSINESS SOLUTIONS, INC.","SALES ACCOUNT MANAGER",67974,BURLINGTON,MA
"ENSO COLLABORATIVE, LLC","SENIOR DIGITAL PRODUCER",100000,"SANTA MONICA",CA
"CAP BARBELL INC.","ADVERTISING MANAGER",55453,HOUSTON,TX
"BAUMANN SPRINGS USA INC.","MARKETING MANAGER",50000,"GRAND PRAIRIE",TX
"IGNITION HOLDINGS LLC","SENIOR ACCOUNT MANAGER",60000,ATLANTA,GA
"LIVIDINI WEISENFELD PARTNERS, LLC",DIRECTOR,77043,"NEW YORK",NY
"INSPIRE! GROUP, INC.","ASSOCIATE CREATIVE DIRECTOR",85000,DALLAS,TX
"DDB CHICAGO INC.","ASSOCIATE CREATIVE DIRECTOR",112000,CHICAGO,IL
"CTM MEDIA GROUP, INC.","ACCOUNT EXECUTIVE",77043,"NEW YORK",NY
"AKQA, INC.","SENIOR PROJECT MANAGER",113000,"NEW YORK",NY
"BBDO USL LLC","SENIOR PLANNER",90000,"NEW YORK",NY
"XTREME POWER SYSTEMS, LLC","VICE PRESIDENT, COMMECIAL OPERATIONS & APPLICATION",140000,AUSTIN,TX
"BARU GROUP, INC","ADVERTISING AND PROMOTIONS MANAGER",54000,MIAMI,FL
"DROGA5, LLC","ACCOUNT DIRECTOR",140000,"NEW YORK",NY
"BARCKS, CORP","PROMOTION & ADVERTISING SPECIALIST",53500,HIALEAH,FL
"NODUS TECHNOLOGIES, INC.","ACCOUNT EXECUTIVE",57075,ANAHEIM,CA
"R/GA MEDIA GROUP INC.","GROUP DIRECTOR",185000,"NEW YORK",NY
"YELLOWPAGES.COM LLC","ASSOCIATE DIRECTOR - ADVERTISER REPORTING",92290,GLENDALE,CA
"WHITE RIBBON ALLIANCE FOR SAFE MOTHERHOOD","DIRECTOR OF STRATEGIC FUNDRAISING",97747,WASHINGTON,DC
"NATIONAL OILWELL VARCO, L.P.","PRODUCT LINE MANAGER",63500,CONROE,TX
"JEWELRY BOX STORES, INC.","ADVERTISING AND PROMOTIONS MANAGER",39915,"EL PASO",TX
"JONES KNOWLES RITCHIE INC","GENERAL MANAGER",130000,"NEW YORK",NY
"PERSPECTIVE LAB, LLC","ADVERTISING MANAGER",79040,"SAN FRANCISCO",CA
"KIIP, INC.","CHIEF EXECUTIVE OFFICER",130000,"SAN FRANCISCO",CA
"A9.COM, INC.","STRATEGIC ACCOUNT MANAGER",98000,"PALO ALTO",CA
"ALMA DDB LLC","SUPERVISOR OF STRATEGIC INSIGHTS",60000,"COCONUT GROVE",FL
"QUESTUS, INC.","ACCOUNT DIRECTOR",120000,"NEW YORK",NY
"JEWELRY BOX STORES, INC.","ADVERTISING AND PROMOTIONS MANAGER",39915,"EL PASO",TX
